score,skill_count,job_title,company,location,matches,visa_status,visa_bonus,posted,reason,apply_link
70,5,"Software Development Engineer, Measurement, Ad Tech, and Data Science",Amazon.com Services LLC,"Boulder, CO","['Machine Learning', 'Hive', 'AWS', 'Spark', 'Hadoop']",Unknown,0,18 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.indeed.com/viewjob?jk=690a29ee2532cc9b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
70,5,Software Engineer Bigquery Ai Ml (Remote),Google,United States,"['Python', 'SQL', 'C++', 'NLP', 'Machine Learning']",Unknown,0,16 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://pangian.com/remote/job/software-engineer-bigquery-ai-ml-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
70,5,"Applied Scientist, Workplace Health & Safety",Amazon,"Nashville, TN","['Python', 'Java', 'C++', 'LLMs', 'Machine Learning']",Unknown,0,11 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.linkedin.com/jobs/view/applied-scientist-workplace-health-safety-at-amazon-4370112624?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
70,5,Computer Vision Engineer - Robotics Start Up,Propel,"Pasadena, CA","['Python', 'C++', 'Machine Learning', 'PyTorch', 'TensorFlow']",Unknown,0,18 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.linkedin.com/jobs/view/computer-vision-engineer-robotics-start-up-at-propel-4388708468?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
56,4,Machine Learning Engineer Jobs,"Synthbee, Inc.","Arlington, VA (+1 other)","['Python', 'RAG', 'Machine Learning', 'AWS']",Unknown,0,12 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.clearancejobs.com/jobs/8813955/machine-learning-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
56,4,Flask And Data Engineer,Pradeep Tech Services,"Kansas City, MO","['Python', 'SQL', 'AWS', 'MongoDB']",Unknown,0,19 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.linkedin.com/jobs/view/flask-and-data-engineer-at-pradeep-tech-services-4386151356?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
56,4,ML Engineer/ II - Camera Models,Torc Robotics,Anywhere,"['Python', 'Machine Learning', 'Deep Learning', 'PyTorch']",Unknown,0,20 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://grabjobs.co/us/job/full-time/others/remote-ml-engineer-ii-camera-models-155581643?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
56,4,"Applied Scientist, Last Mile Science",Amazon.com Services LLC,"Austin, TX","['Python', 'Java', 'C++', 'Machine Learning']",Unknown,0,18 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.indeed.com/viewjob?jk=73fc45968df83bf2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
56,4,Computer vision engineer,EYES ON,"Turin, GA","['Python', 'C++', 'Deep Learning', 'Git']",Unknown,0,2 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.recruit.net/job/computer-vision-engineer-jobs/E40E5752AA1CDACF?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
42,3,Python / FastAPI Backend Developer — AI Intelligence Platform (Fixed Price · 65 Days),Upwork,Anywhere,"['Python', 'NLP', 'AWS']",Unknown,0,10 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.upwork.com/freelance-jobs/apply/Python-FastAPI-Backend-Developer-Intelligence-Platform-Fixed-Price-Days_~022035380048717089386/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
42,3,"Technical Lead, Machine Learning",A1,"Palo Alto, CA","['Python', 'Machine Learning', 'PyTorch']",Unknown,0,21 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.linkedin.com/jobs/view/technical-lead-machine-learning-at-a1-4388257636?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
42,3,Remote Real World Data Analyst,Jobgether,Anywhere,"['SQL', 'R', 'Machine Learning']",Unknown,0,24 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.adzuna.com/details/5673929833?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
42,3,Python Developer,Brooksource,"Royal Oak, MI","['Python', 'Machine Learning', 'AWS']",Unknown,0,16 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://jobs.brooksource.com/jobs/job/a1wcv000000gigveag-python-developer-royal-oak-michigan/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
42,3,Applied Artificial Intelligence Scientist,Codified,"Seattle, WA","['LLMs', 'NLP', 'Machine Learning']",Unknown,0,15 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://echojobs.io/job/codified-applied-ai-scientst-xebjs?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
42,3,Deep Learning Compiler Engineer - Full-time,"quadric, Inc","Burlingame, CA","['C++', 'Machine Learning', 'Deep Learning']",Unknown,0,7 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.snagajob.com/jobs/1070530021?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
42,3,Claris - Backend AI Engineer In Test - Full-time,Apple,"Sunnyvale, CA","['Python', 'LLMs', 'AWS']",Unknown,0,18 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.snagajob.com/jobs/1182122661?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
28,2,ML/CV Engineer — Early-Stage Startup with Strong Product-Market Fit,Upwork,Anywhere,"['Segmentation', 'Machine Learning']",Unknown,0,10 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://www.upwork.com/freelance-jobs/apply/Engineer-Early-Stage-Startup-with-Strong-Product-Market-Fit_~022035388027520568228/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
28,2,Analytics Engineer - Seattle/ WA,Otter,"Seattle, WA","['Python', 'SQL']",Unknown,0,20 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}",https://grabjobs.co/us/job/full-time/others/analytics-engineer-seattle-wa-155580817?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
28,2,Computer Vision Algorithm Engineer | Upto $70/hr Hourly,Mercor,"San Francisco, CA","['Python', 'TensorFlow']",Unknown,0,17 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}","https://www.ziprecruiter.com/c/Mercor/Job/Computer-Vision-Algorithm-Engineer-%7C-Upto-$70-hr-Hourly/-in-San-Francisco,CA?jid=de6d7fa7c826af6e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
28,2,Computer Vision Software Engineer,Mercor,"San Francisco, CA","['Python', 'TensorFlow']",Unknown,0,17 hours ago,"AI error — regex fallback. 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}}","https://www.ziprecruiter.com/c/Mercor/Job/Computer-Vision-Software-Engineer/-in-San-Francisco,CA?jid=c0cd14b5ac6762fc&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
