score,years,reason,url,flags
0,3,Knocked out because the job location (Israel) is explicitly outside the USA.,https://remotive.com/remote/jobs/ai-ml/data-scientist-4086915, | Flags: 📍 Non-US
0,2,"Location knockout triggered: JD explicitly lists locations outside USA (Montreal, Canada, Remote - Canada).",https://job-boards.greenhouse.io/torcrobotics/jobs/8449457002, | Flags: 📍 Non-US
0,3,"Knockout rule triggered: JD states 'US Citizenship and an active Secret security clearance required', which flags 'requires clearance' and 'US Citizen only'.",https://job-boards.greenhouse.io/darkwolfsolutions/jobs/7672377003, | Flags: 🛂 Visa/Clearance
0,4,"The JD requires a minimum of 4 years of experience for a Bachelor's degree, which exceeds the candidate's maximum of 3 years. Additionally, the job location explicitly includes Canada, which is outside the USA, triggering a knockout rule.",https://job-boards.greenhouse.io/torcrobotics/jobs/8467755002," | Flags: 📍 Non-US, ⏱️ Exp High"
0,0,"Location is explicitly Lisbon, Portugal, which is outside the USA, triggering a knockout rule.",https://jobs.accel.com/companies/gocardless/jobs/71145230-growth-commercial-analyst, | Flags: 📍 Non-US
0,2,"The job description explicitly lists 'Montreal, Canada' and 'Remote - Canada' as locations, which triggers the knockout rule for locations explicitly outside the USA.",https://job-boards.greenhouse.io/torcrobotics/jobs/8467681002, | Flags: 📍 Non-US
0,3,"The score is 0 because the job requires eligibility to obtain and maintain a U.S. security clearance, which is a knockout condition.",https://job-boards.greenhouse.io/andurilindustries/jobs/5079884007, | Flags: 🛂 Visa/Clearance
0,2,"Knockout rule triggered: Location (JD lists Montreal, Canada and Remote - Canada, which are explicitly outside USA). The experience requirement (minimum 2 years with a Master's) does not trigger the 'requires MORE than 3 years minimum' knockout. The sponsorship rule is not triggered. If not for the knockout, the score would be (2 matching tech skills / 2 requested tech skills) * 100 = 100 (Python, PyTorch).",https://job-boards.greenhouse.io/torcrobotics/jobs/8449463002, | Flags: 📍 Non-US
0,1,"The job description explicitly states 'No sponsorship is available for this position', which is a knockout rule.",https://job-boards.greenhouse.io/campusopportunities/jobs/8459137002, | Flags: 🛂 Visa/Clearance
0,7,"The job requires a minimum of 7+ years of experience, which violates the knockout rule for candidates with MAX 3 years experience.",https://remotive.com/remote/jobs/ai-ml/ai-transformation-consultant-4087275, | Flags: ⏱️ Exp High
0,5,"The job requires a minimum of 5+ years of experience, which is more than the candidate's maximum of 3 years. Additionally, a TS/SCI clearance is required, which is a knockout criterion.",https://careers.boozallen.com/jobs/JobDetail/Washington-Data-Scientist-R0236207/122119," | Flags: 🛂 Visa/Clearance, ⏱️ Exp High"
0,0,"Sponsorship requirement 'without Sponsorship' was flagged, resulting in a score of 0.",https://jobs.lever.co/bellese/c183c7b1-72f7-4d62-b8c6-5abb65068dc9, | Flags: 🛂 Visa/Clearance
0,2,"The job description explicitly states a requirement for ""TS/SCI clearance"", which triggers the 'requires clearance' knockout rule.",https://careers.viva-it.com/careers/opportunities/job-detail/data-scientist-developer-RKMSD192, | Flags: 🛂 Visa/Clearance
0,3,"Location is explicitly outside USA (Bezons, FR), which is a knockout rule.",https://jobs.atos.net/job/Bezons-Ing%C3%A9nieur-Data-%28FH%29/1375619733/, | Flags: 📍 Non-US
0,1,"Knockout rule met: Location is explicitly outside USA (India). Therefore, the score is 0.",https://jobs.weekday.works/ai-ml-engineer-at-casepoint-4383114101, | Flags: 📍 Non-US
0,2,Sponsorship knockout rule was triggered because the job description explicitly states 'this position is not eligible for employment visa sponsorship'.,https://job-boards.greenhouse.io/gallup/jobs/4186147009, | Flags: 🛂 Visa/Clearance
0,3,"Score is 0 because U.S. citizenship is required, which triggers the sponsorship/status knockout rule.",https://careers.boozallen.com/careers/JobDetail/McLean-Data-Conversion-Developer-R0235863/122170, | Flags: 🛂 Visa/Clearance
0,3,"Sponsorship knockout: The JD explicitly states 'visa sponsorship is not available for this role'. If not for the knockout, the score would be calculated as (4 matching skills / 15 total requested skills) * 100 = 27. Matching skills: Python, LLMs, RAG, AWS. Total requested skills from JD: Python, Django, Celery, PostgreSQL, Redis, FHIR R4, HL7 v2, Epic App Orchard, Cerner SMART on FHIR, AWS, GitHub Actions, Terraform, LLMs, RAG, Docker.",https://job-boards.greenhouse.io/avomdincdbaavo/jobs/4188130009, | Flags: 🛂 Visa/Clearance
0,6,"The job explicitly requires ""6+ years"" of experience, which is more than the candidate's maximum of 3 years. This triggers a knockout rule, resulting in a score of 0.",https://jobs.notablecap.com/companies/neon-2-fafc7050-f6c0-4a38-9c9c-e8dc0b61e31c/jobs/71315295-sr-solutions-architect-bi-and-analytics, | Flags: ⏱️ Exp High
0,2,"The job description explicitly lists locations outside the USA (Montreal, Canada, Remote - Canada), which triggers the 'Location: Explicitly outside USA' knockout rule, resulting in a score of 0.",https://job-boards.greenhouse.io/torcrobotics/jobs/8467743002, | Flags: 📍 Non-US
0,0,"Location explicitly outside USA (KwaZulu-Natal, South Africa) triggers knockout rule.",https://jobs.workable.com/view/rkwsgrwWnCcLBbByPkwy5i/python-%2F-ml-developer---remote-(est-hours)-in-kwazulu-natal-at-ista-personnel-solutions, | Flags: 📍 Non-US
0,2,"The job explicitly lists locations outside the USA (Montreal, Canada, Remote - Canada), which triggers a knockout rule. Therefore, the score is 0.",https://job-boards.greenhouse.io/torcrobotics/jobs/8449459002, | Flags: 📍 Non-US
0,3,"Sponsorship/Status: The job description states 'Clearance Required: Ability to Obtain Secret' and 'Must be able to OBTAIN and MAINTAIN a Federal or DoD 'SECRET' security clearance'. This explicitly triggers the knockout rule 'requires clearance', resulting in a score of 0.",https://www.workingnomads.com/jobs/rpa-back-end-developer-guidehouse-1486860, | Flags: 🛂 Visa/Clearance
0,3,"Location (France) is explicitly outside USA, triggering a knockout rule and resulting in a score of 0.",https://jobs.lever.co/mistral/a228ac73-62f1-4a2a-8afe-5070f445143f, | Flags: 📍 Non-US
0,0,"Location knockout: The job is explicitly located in Khobar City, Saudi Arabia, which is outside the USA.",https://careers.octave.com/job/Implementation-Consultant/1238-en_US?src=LinkedIn, | Flags: 📍 Non-US
0,4,"The job requires '4+ years’ experience', which is more than the candidate's maximum of 3 years. Additionally, the job location is 'Canada : Ontario : Toronto', which is explicitly outside the USA. Both conditions trigger a knockout, resulting in a score of 0.",https://jobs.scotiabank.com/job/Toronto-Software-Engineer-with-Python%2C-Scala-and-Spark-ON-M5H-1H1/600800517/," | Flags: 📍 Non-US, ⏱️ Exp High"
0,2,"The job requires an active Secret clearance or the ability to obtain one, which triggers a knockout rule.",https://tietalent.com/en/jobs/p-605926770/united-states-data-engineer-6458, | Flags: 🛂 Visa/Clearance
0,2,"The job location 'Gurgaon, India' is explicitly outside the USA, which is a knockout rule, resulting in a score of 0.",https://careers.spglobal.com/jobs/325894?lang=en-us, | Flags: 📍 Non-US
0,5,"The job description requires '5+ years of hands-on data science experience', which is more than the candidate's maximum of 3 years. Additionally, the job location is 'Tel Aviv', which is explicitly outside the USA. Both conditions trigger knockout rules, resulting in a score of 0.",https://recruiterflow.com/insphire/jobs/1430?widget=1," | Flags: 📍 Non-US, ⏱️ Exp High"
0,5,"Knockout rule triggered: Experience (JD requires 5+ years minimum, candidate has max 3 years) and Sponsorship/Status (JD requires TS/SCI clearance).",https://careers.boozallen.com/careers/JobDetail/Washington-Data-Scientist-R0236207/122119," | Flags: 🛂 Visa/Clearance, ⏱️ Exp High"
