score,job_title,company,location,visa_status,posted,apply_link,matches
88,Data Scientist - short-term contract,Capstone Integrated Solutions,Anywhere,Not Mentioned,6 hours ago,https://builtin.com/job/data-scientist-short-term-contract/8078565?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, Scikit-Learn, Feature Engineering, AWS, Machine Learning"
88,Data and Analytics Engineer,Performance Technologies,"Amesville, OH",Not Mentioned,17 hours ago,https://www.snagajob.com/jobs/1215441506?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, SQL, Machine Learning, LLMs, RAG"
88,"Machine Learning Engineer, ML Runtime & Optimization - Full-time",pony.ai,"Fremont, CA",Not Mentioned,11 hours ago,https://www.snagajob.com/jobs/1070532725?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, C++, Machine Learning, Deep Learning, PyTorch"
85,Entry-Level AI Developer (Claude + Python),United Placement Group,"Bradenton, FL",Not Mentioned,10 hours ago,https://jobs.stevenagefc.com/jobs/entry-level-ai-developer-claude-python-bradenton-florida/2679670767-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, LLMs, RAG, Git"
85,"Research Engineer, Production Model Post-Training",Anthropic,"Seattle, WA",Friendly,15 hours ago,https://jobright.ai/jobs/info/69165e0d9c388539cbdfa60b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, Deep Learning, Machine Learning, LLMs"
80,Flask And Data Engineer,Pradeep Tech Services,"Kansas City, MO",Not Mentioned,23 hours ago,https://www.linkedin.com/jobs/view/flask-and-data-engineer-at-pradeep-tech-services-4386151356?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, SQL, MongoDB, AWS"
80,Applied Research Scientist / Engineer,Luma AI,"Sacramento, CA",Not Mentioned,7 hours ago,https://jobs.kget.com/jobs/applied-research-scientist-engineer-sacramento-california/2679774384-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Python, Machine Learning, Deep Learning, PyTorch"
55,Associate Systems Engineer (Python / SQL),Braves Technologies,United States,Not Mentioned,16 hours ago,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer+Python&htidocid=1dBf-inkRayv6iEXAAAAAA%3D%3D&hl=en-US&shem=epsd1&shndl=37&shmd=H4sIAAAAAAAA_xWNMQrCQBBFsc0RrKawUMGsCDbaqCCCWCjRWjbrsLuymQk7gyQH8p7G5sN7xfvFd1Ts9iLsolWEqhfFRuBIPhJihum118AEBqrbZQYLOHMNgja7AIM-MfuE421QbWVjjEgqvajV6ErHjWHCmjvz5lr-85RgM7ZpuHqu1suubMnPJ4dsPyhwRxeIE_s4QCR4UFR8QTXUUH7bWcTeqAAAAA&shmds=v1_ATWGeeP53hlUNbv1fOf3I2U7Msspe0M8tx5SPsM6LVLIYM1f1A&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer+Python&htidocid=1dBf-inkRayv6iEXAAAAAA%3D%3D,"Python, SQL"
50,ML/CV Engineer — Early-Stage Startup with Strong Product-Market Fit,Upwork,Anywhere,Not Mentioned,14 hours ago,https://www.upwork.com/freelance-jobs/apply/Engineer-Early-Stage-Startup-with-Strong-Product-Market-Fit_~022035388027520568228/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Machine Learning, Segmentation"
50,Computer Vision Algorithm Engineer | Upto $70/hr Hourly,Mercor,"San Francisco, CA",Not Mentioned,21 hours ago,"https://www.ziprecruiter.com/c/Mercor/Job/Computer-Vision-Algorithm-Engineer-%7C-Upto-$70-hr-Hourly/-in-San-Francisco,CA?jid=de6d7fa7c826af6e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Python, TensorFlow"
50,Computer Vision Software Engineer,Mercor,"San Francisco, CA",Not Mentioned,21 hours ago,"https://www.ziprecruiter.com/c/Mercor/Job/Computer-Vision-Software-Engineer/-in-San-Francisco,CA?jid=c0cd14b5ac6762fc&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Python, TensorFlow"
